Date,Open,High,Low,Close,Adj Close,Volume
2015-06-30,190.179993,190.179993,188.240005,188.839996,162.933945,2679400
2015-07-01,190.649994,190.750000,189.449997,190.270004,164.167740,2782300
2015-07-02,190.850006,191.000000,189.679993,190.130005,164.046921,3087100
2015-07-06,188.720001,190.399994,188.479996,189.580002,163.572403,1741100
2015-07-07,189.860001,190.899994,187.190002,190.750000,164.581863,3507500
2015-07-08,189.360001,189.589996,187.309998,187.509995,161.786362,1874000
2015-07-09,189.899994,190.130005,187.830002,187.850006,162.079697,2224900
2015-07-10,190.179993,190.710007,189.350006,190.240005,164.141907,1648600
2015-07-13,191.589996,192.479996,191.580002,192.369995,165.979645,1026100
2015-07-14,192.369995,193.529999,192.270004,193.220001,166.713043,1128900
2015-07-15,193.289993,193.729996,192.619995,193.139999,166.644028,1174800
2015-07-16,194.309998,194.669998,194.050003,194.619995,167.920914,949500
2015-07-17,194.679993,194.919998,194.240005,194.850006,168.119446,872100
2015-07-20,195.089996,195.460007,194.600006,194.940002,168.197083,1103500
2015-07-21,194.820007,195.050003,193.860001,194.169998,167.532730,772400
2015-07-22,193.380005,194.160004,193.380005,193.789993,167.204849,1193800
2015-07-23,194.000000,194.029999,192.339996,192.679993,166.247101,899300
2015-07-24,192.860001,192.889999,190.360001,190.669998,164.512878,1589100
2015-07-27,189.779999,190.320007,189.149994,189.589996,163.581009,1745600
2015-07-28,190.589996,192.100006,189.630005,191.889999,165.565491,931300
2015-07-29,192.070007,193.500000,191.910004,193.250000,166.738953,2471200
2015-07-30,192.770004,193.479996,192.020004,193.279999,166.764816,924400
2015-07-31,193.919998,193.919998,192.710007,192.949997,166.480057,1437200
2015-08-03,193.000000,193.009995,191.330002,192.350006,165.962387,3081700
2015-08-04,192.350006,192.759995,191.460007,191.970001,165.634537,1601700
2015-08-05,193.039993,193.750000,192.309998,192.639999,166.212585,1369900
2015-08-06,192.770004,192.929993,190.389999,191.169998,164.944275,1321200
2015-08-07,190.880005,190.990005,189.690002,190.669998,164.512878,1854100
2015-08-10,191.899994,193.149994,191.899994,193.089996,166.600845,1346700
2015-08-11,191.639999,192.039993,190.500000,191.320007,165.073608,4996300
2015-08-12,189.880005,191.759995,188.300003,191.490005,165.220398,3758700
2015-08-13,191.419998,192.119995,190.770004,191.279999,165.039185,1155900
2015-08-14,191.119995,192.080002,190.979996,192.020004,165.677643,742500
2015-08-17,191.419998,193.089996,190.860001,193.089996,166.600845,1926300
2015-08-18,192.839996,193.160004,192.279999,192.500000,166.091812,1023800
2015-08-19,191.779999,192.550003,190.119995,190.979996,164.780334,1771900
2015-08-20,189.360001,189.929993,186.949997,186.970001,161.320450,4195700
2015-08-21,185.080002,186.029999,181.039993,181.039993,156.203934,6145900
2015-08-24,172.000000,179.539993,168.080002,173.660004,149.836395,12325000
2015-08-25,179.160004,179.800003,171.369995,171.550003,148.015854,8132200
2015-08-26,176.229996,178.509995,172.679993,178.360001,153.891632,7086100
2015-08-27,180.800003,182.800003,178.940002,182.720001,157.653488,7168800
2015-08-28,181.970001,183.190002,181.429993,182.720001,157.653488,2945000
2015-08-31,181.679993,182.539993,180.600006,181.110001,156.264328,1923000
2015-09-01,177.110001,178.500000,174.830002,175.580002,151.493011,8531800
2015-09-02,178.479996,179.130005,176.399994,179.119995,154.547348,2424000
2015-09-03,179.960007,181.539993,178.710007,179.270004,154.676804,2420200
2015-09-04,176.880005,177.690002,175.639999,176.490005,152.278152,2317700
2015-09-08,179.669998,181.149994,178.919998,181.009995,156.178085,2248500
2015-09-09,182.800003,182.850006,178.169998,178.570007,154.072784,2125500
2015-09-10,178.250000,180.779999,178.070007,179.570007,154.935638,1774400
2015-09-11,179.089996,180.419998,178.330002,180.320007,155.582733,2185000
2015-09-14,180.580002,180.580002,179.179993,179.639999,154.996033,905300
2015-09-15,180.220001,182.419998,179.770004,181.979996,157.014984,1641500
2015-09-16,182.339996,183.720001,181.910004,183.570007,158.386887,2098900
2015-09-17,183.399994,185.990005,182.740005,183.089996,157.972717,3106200
2015-09-18,180.410004,182.039993,179.690002,180.130005,155.418823,3205200
2015-09-21,180.149994,181.199997,178.940002,180.100006,156.219452,1467600
2015-09-22,177.800003,178.250000,176.539993,177.750000,154.181000,2469500
2015-09-23,177.990005,178.449997,176.850006,177.429993,153.903427,1670300
2015-09-24,176.050003,177.309998,174.690002,176.880005,153.426331,2562400
2015-09-25,178.479996,178.710007,175.830002,176.759995,153.322266,3436300
2015-09-28,175.860001,175.869995,172.020004,172.309998,149.462341,3732900
2015-09-29,172.669998,173.919998,171.360001,172.399994,149.540451,3219500
2015-09-30,174.559998,175.839996,173.669998,175.710007,152.411545,4123600
2015-10-01,175.970001,176.429993,174.000000,176.199997,152.836548,3948400
2015-10-02,174.000000,178.750000,173.350006,178.750000,155.048431,2307200
2015-10-05,180.139999,182.179993,180.000000,181.960007,157.832779,2049100
2015-10-06,181.880005,182.410004,180.589996,181.350006,157.303680,1325400
2015-10-07,182.399994,183.190002,181.050003,182.869995,158.622086,1693800
2015-10-08,182.440002,184.779999,182.080002,184.479996,160.018646,3109600
2015-10-09,184.660004,185.080002,183.910004,184.580002,160.105408,1651000
2015-10-12,184.679993,184.929993,184.179993,184.800003,160.296219,885100
2015-10-13,183.979996,185.309998,183.389999,183.570007,159.229309,1022300
2015-10-14,183.449997,184.130005,182.389999,182.710007,158.483337,1184100
2015-10-15,183.399994,185.490005,183.020004,185.449997,160.860031,2523100
2015-10-16,185.919998,186.339996,185.119995,186.199997,161.510529,1241200
2015-10-19,185.660004,186.429993,185.309998,186.419998,161.701401,768900
2015-10-20,186.020004,186.869995,185.699997,186.179993,161.493179,1151200
2015-10-21,186.789993,186.809998,184.860001,184.970001,160.443665,1556900
2015-10-22,186.020004,188.380005,185.970001,188.169998,163.219345,1498300
2015-10-23,190.000000,190.630005,189.139999,190.220001,164.997528,1624300
2015-10-26,190.110001,190.119995,189.389999,189.770004,164.607239,1150500
2015-10-27,189.080002,189.759995,188.649994,189.399994,164.286255,1442400
2015-10-28,189.839996,191.600006,189.059998,191.600006,166.194565,2251900
2015-10-29,191.039993,191.850006,190.889999,191.529999,166.133850,1779000
2015-10-30,191.820007,192.000000,190.559998,190.559998,165.292450,2011600
2015-11-02,190.979996,193.089996,190.850006,192.820007,167.252808,2403500
2015-11-03,192.539993,194.059998,192.279999,193.429993,167.781891,3920400
2015-11-04,193.770004,193.899994,192.279999,192.880005,167.304840,1786700
2015-11-05,192.990005,193.440002,191.710007,192.639999,167.096634,2185100
2015-11-06,192.259995,192.830002,191.119995,192.559998,167.027237,2172600
2015-11-09,191.889999,192.009995,189.750000,190.759995,165.465927,2127800
2015-11-10,190.259995,191.250000,189.910004,191.119995,165.778214,1257500
2015-11-11,191.479996,191.550003,190.389999,190.389999,165.145020,1114700
2015-11-12,189.360001,189.809998,187.779999,187.839996,162.933121,2454900
2015-11-13,187.350006,187.619995,185.580002,185.669998,161.050858,3224000
2015-11-16,185.500000,188.550003,185.360001,188.520004,163.522949,1687100
2015-11-17,188.860001,189.789993,187.830002,188.289993,163.323425,1879900
2015-11-18,188.910004,191.509995,188.889999,191.320007,165.951645,2858600
2015-11-19,191.300003,191.679993,190.899994,191.220001,165.864960,2154800
2015-11-20,192.009995,192.660004,191.500000,191.929993,166.480774,1317600
2015-11-23,191.889999,192.539993,191.199997,191.710007,166.289963,1308100
2015-11-24,190.630005,192.380005,190.179993,192.020004,166.558853,1572000
2015-11-25,192.149994,192.309998,191.669998,191.960007,166.506821,758700
2015-11-27,192.080002,192.380005,191.500000,192.149994,166.671646,894500
2015-11-30,192.449997,192.470001,191.240005,191.369995,165.995056,1551000
2015-12-01,192.050003,193.300003,191.779999,193.220001,167.599777,1812900
2015-12-02,193.179993,193.449997,190.919998,191.179993,165.830246,1999600
2015-12-03,191.559998,191.750000,187.729996,188.460007,163.470901,2724400
2015-12-04,188.990005,192.520004,188.839996,192.160004,166.680344,2900700
2015-12-07,191.880005,191.880005,189.979996,190.949997,165.630692,1752800
2015-12-08,189.250000,190.720001,188.669998,189.729996,164.572464,1721700
2015-12-09,189.119995,191.320007,187.199997,188.309998,163.340775,4500300
2015-12-10,188.500000,190.179993,188.100006,188.740005,163.713791,4083800
2015-12-11,186.440002,187.149994,184.750000,184.979996,160.452347,3084400
2015-12-14,185.320007,186.089996,183.309998,186.089996,161.415192,2722600
2015-12-15,187.750000,188.960007,187.529999,188.029999,163.097916,3799300
2015-12-16,189.279999,191.080002,187.699997,190.669998,165.387878,6361700
2015-12-17,191.139999,191.160004,187.820007,187.889999,162.976501,3096000
2015-12-18,186.949997,187.080002,184.399994,184.399994,159.949280,4531400
2015-12-21,184.740005,185.070007,183.470001,184.929993,161.364532,2168400
2015-12-22,185.850006,186.889999,184.800003,186.600006,162.821732,2423300
2015-12-23,187.750000,188.940002,187.570007,188.839996,164.776291,2275500
2015-12-24,188.690002,189.169998,188.339996,188.509995,164.488312,1170800
2015-12-28,187.850006,188.179993,187.000000,188.100006,164.130630,2668300
2015-12-29,189.429993,190.509995,189.339996,190.199997,165.962982,1757100
2015-12-30,189.970001,189.990005,188.669998,188.800003,164.741425,2535800
2015-12-31,188.119995,188.759995,186.929993,186.929993,163.109680,2395200
2016-01-04,183.770004,184.320007,182.080002,184.309998,160.823547,4193500
2016-01-05,184.570007,185.119995,183.429993,184.639999,161.111526,2882500
2016-01-06,181.929993,183.380005,181.190002,182.300003,159.069702,2755100
2016-01-07,179.149994,181.000000,177.500000,177.860001,155.195435,4952500
2016-01-08,178.970001,179.529999,175.649994,175.970001,153.546326,7357300
2016-01-11,177.039993,177.320007,174.059998,175.990005,153.563766,4493300
2016-01-12,177.750000,178.360001,175.259995,177.449997,154.837692,2998800
2016-01-13,178.429993,178.639999,172.720001,173.110001,151.050751,4125700
2016-01-14,173.789993,177.179993,172.059998,175.919998,153.502716,5081400
2016-01-15,171.199997,173.059998,170.100006,172.149994,150.213135,8087300
2016-01-19,174.199997,174.289993,170.720001,172.339996,150.378922,5863300
2016-01-20,169.589996,171.880005,165.960007,170.320007,148.616302,8577600
2016-01-21,170.789993,173.139999,169.330002,171.149994,149.340530,3004600
2016-01-22,174.029999,174.860001,173.179993,174.660004,152.403244,2611700
2016-01-25,174.100006,174.330002,171.830002,172.070007,150.143280,2756400
2016-01-26,172.850006,174.660004,172.389999,174.399994,152.176407,2263700
2016-01-27,173.889999,175.619995,171.500000,172.419998,150.448654,3543000
2016-01-28,174.130005,174.350006,171.649994,173.360001,151.268921,2616400
2016-01-29,174.339996,177.750000,174.080002,177.750000,155.099457,4453100
2016-02-01,176.610001,178.389999,175.910004,177.589996,154.959900,3923200
2016-02-02,175.860001,176.089996,173.800003,174.369995,152.150192,5101200
2016-02-03,175.470001,175.809998,171.570007,175.389999,153.040207,3871000
2016-02-04,174.949997,176.699997,174.229996,175.610001,153.232162,3562200
2016-02-05,175.039993,175.190002,171.649994,172.309998,150.352722,2371900
2016-02-08,170.289993,170.619995,167.619995,169.940002,148.284714,3402000
